x (m),y (m),z (m),pressure (Pa)
  1.682, -4.702, -8.529,   89680
  1.682, -4.702, -9.118,   95416
  1.682, -4.702, -9.706,  101116
  1.213, -4.844, -0.882,   15545
  1.213, -4.844, -1.471,   21179
  1.213, -4.844, -2.059,   26830
  1.213, -4.844, -2.647,   32495
  1.213, -4.844, -3.235,   38174
  1.213, -4.844, -3.824,   43866
  1.213, -4.844, -4.412,   49570
  1.213, -4.844, -5.000,   55284
  1.213, -4.844, -5.588,   61008
  1.213, -4.844, -6.176,   66740
  1.213, -4.844, -6.765,   72478
  1.213, -4.844, -7.353,   78222
  1.213, -4.844, -7.941,   83967
  1.213, -4.844, -8.529,   89711
  1.213, -4.844, -9.118,   95444
  1.213, -4.844, -9.706,  101142
  0.733, -4.940, -0.882,   15600
  0.733, -4.940, -1.471,   21231
  0.733, -4.940, -2.059,   26878
  0.733, -4.940, -2.647,   32541
  0.733, -4.940, -3.235,   38217
  0.733, -4.940, -3.824,   43906
  0.733, -4.940, -4.412,   49607
  0.733, -4.940, -5.000,   55319
  0.733, -4.940, -5.588,   61040
  0.733, -4.940, -6.176,   66770
  0.733, -4.940, -6.765,   72506
  0.733, -4.940, -7.353,   78248
  0.733, -4.940, -7.941,   83991
  0.733, -4.940, -8.529,   89733
  0.733, -4.940, -9.118,   95464
  0.733, -4.940, -9.706,  101162
  0.245, -4.988, -0.882,   15629
  0.245, -4.988, -1.471,   21258
  0.245, -4.988, -2.059,   26903
  0.245, -4.988, -2.647,   32564
  0.245, -4.988, -3.235,   38239
  0.245, -4.988, -3.824,   43926
  0.245, -4.988, -4.412,   49626
  0.245, -4.988, -5.000,   55337
  0.245, -4.988, -5.588,   61057
  0.245, -4.988, -6.176,   66785
  0.245, -4.988, -6.765,   72521
  0.245, -4.988, -7.353,   78261
  0.245, -4.988, -7.941,   84003
  0.245, -4.988, -8.529,   89744
  0.245, -4.988, -9.118,   95474
  0.245, -4.988, -9.706,  101169
 -0.245, -4.988, -0.882,   15629
 -0.245, -4.988, -1.471,   21259
 -0.245, -4.988, -2.059,   26904
 -0.245, -4.988, -2.647,   32565
 -0.245, -4.988, -3.235,   38239
 -0.245, -4.988, -3.824,   43927
 -0.245, -4.988, -4.412,   49627
 -0.245, -4.988, -5.000,   55337
 -0.245, -4.988, -5.588,   61057
 -0.245, -4.988, -6.176,   66786
 -0.245, -4.988, -6.765,   72521
 -0.245, -4.988, -7.353,   78261
 -0.245, -4.988, -7.941,   84004
 -0.245, -4.988, -8.529,   89744
 -0.245, -4.988, -9.118,   95474
 -0.245, -4.988, -9.706,  101170
 -0.733, -4.940, -0.882,   15602
 -0.733, -4.940, -1.471,   21233
 -0.733, -4.940, -2.059,   26880
 -0.733, -4.940, -2.647,   32542
 -0.733, -4.940, -3.235,   38218
 -0.733, -4.940, -3.824,   43907
 -0.733, -4.940, -4.412,   49608
 -0.733, -4.940, -5.000,   55320
 -0.733, -4.940, -5.588,   61041
 -0.733, -4.940, -6.176,   66771
 -0.733, -4.940, -6.765,   72507
 -0.733, -4.940, -7.353,   78249
 -0.733, -4.940, -7.941,   83992
 -0.733, -4.940, -8.529,   89733
 -0.733, -4.940, -9.118,   95464
 -0.733, -4.940, -9.706,  101162
 -1.213, -4.844, -0.882,   15548
 -1.213, -4.844, -1.471,   21183
 -1.213, -4.844, -2.059,   26833
 -1.213, -4.844, -2.647,   32498
 -1.213, -4.844, -3.235,   38177
 -1.213, -4.844, -3.824,   43869
 -1.213, -4.844, -4.412,   49572
 -1.213, -4.844, -5.000,   55286
 -1.213, -4.844, -5.588,   61010
 -1.213, -4.844, -6.176,   66742
 -1.213, -4.844, -6.765,   72480
 -1.213, -4.844, -7.353,   78223
 -1.213, -4.844, -7.941,   83969
 -1.213, -4.844, -8.529,   89712
 -1.213, -4.844, -9.118,   95445
 -1.213, -4.844, -9.706,  101144
 -1.682, -4.702, -0.882,   15470
 -1.682, -4.702, -1.471,   21109
 -1.682, -4.702, -2.059,   26764
 -1.682, -4.702, -2.647,   32434
 -1.682, -4.702, -3.235,   38117
 -1.682, -4.702, -3.824,   43813
 -1.682, -4.702, -4.412,   49520
 -1.682, -4.702, -5.000,   55237
 -1.682, -4.702, -5.588,   60964
 -1.682, -4.702, -6.176,   66699
 -1.682, -4.702, -6.765,   72441
 -1.682, -4.702, -7.353,   78187
 -1.682, -4.702, -7.941,   83935
 -1.682, -4.702, -8.529,   89682
 -1.682, -4.702, -9.118,   95418
 -1.682, -4.702, -9.706,  101118
 -2.135, -4.515, -0.882,   15370
 -2.135, -4.515, -1.471,   21016
 -2.135, -4.515, -2.059,   26677
 -2.135, -4.515, -2.647,   32352
 -2.135, -4.515, -3.235,   38041
 -2.135, -4.515, -3.824,   43741
 -2.135, -4.515, -4.412,   49453
 -2.135, -4.515, -5.000,   55175
 -2.135, -4.515, -5.588,   60906
 -2.135, -4.515, -6.176,   66645
 -2.135, -4.515, -6.765,   72390
 -2.135, -4.515, -7.353,   78140
 -2.135, -4.515, -7.941,   83892
 -2.135, -4.515, -8.529,   89643
 -2.135, -4.515, -9.118,   95383
 -2.135, -4.515, -9.706,  101094
 -2.567, -4.283, -0.882,   15253
 -2.567, -4.283, -1.471,   20907
 -2.567, -4.283, -2.059,   26575
 -2.567, -4.283, -2.647,   32256
 -2.567, -4.283, -3.235,   37951
 -2.567, -4.283, -3.824,   43657
 -2.567, -4.283, -4.412,   49375
 -2.567, -4.283, -5.000,   55102
 -2.567, -4.283, -5.588,   60838
 -2.567, -4.283, -6.176,   66581
 -2.567, -4.283, -6.765,   72331
 -2.567, -4.283, -7.353,   78086
 -2.567, -4.283, -7.941,   83842
 -2.567, -4.283, -8.529,   89597
 -2.567, -4.283, -9.118,   95342
 -2.567, -4.283, -9.706,  101057
 -2.975, -4.011, -0.882,   15123
