VARIABLES="Period (s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Diffraction force - beta =   0.000 deg",I=     5,F=POINT
 0.7200  0.154181E+07  0.154181E+07  0.122784E+07  0.101205E+07  0.101205E+07  0.258799E-01 -186.04   -6.04  -78.37   -6.06   -6.06  -78.30
 0.7854  0.171013E+07  0.171013E+07  0.103193E+07  0.114868E+07  0.114868E+07  0.237545E-01 -188.81   -8.81  -74.70   -8.81   -8.81  -74.63
Zone t="Diffraction force - beta = 144.000 deg",I=     5,F=POINT
 0.5236  0.112044E+07  0.814048E+06  0.191706E+07  0.475756E+06  0.654823E+06  0.268855E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -84.88
 0.5890  0.132428E+07  0.962145E+06  0.167624E+07  0.588397E+06  0.809859E+06  0.193256E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -80.45
 0.6545  0.154603E+07  0.112325E+07  0.144460E+07  0.712186E+06  0.980241E+06  0.712733E-02 -183.85   -3.85  -81.38   -3.86   -3.86  -53.98
 0.7200  0.176402E+07  0.128164E+07  0.122784E+07  0.841268E+06  0.115791E+07  0.179626E-01 -186.04   -6.04  -78.37   -6.06   -6.06   73.01
 0.7854  0.195660E+07  0.142155E+07  0.103193E+07  0.954846E+06  0.131423E+07  0.566675E-01 -188.81   -8.81  -74.70   -8.81   -8.81   83.65
Zone t="Diffraction force - beta = 153.000 deg",I=     5,F=POINT
 0.5236  0.123399E+07  0.628750E+06  0.191706E+07  0.367463E+06  0.721186E+06  0.236048E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -84.20
 0.5890  0.145849E+07  0.743136E+06  0.167624E+07  0.454463E+06  0.891934E+06  0.127225E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -75.37
 0.6545  0.170271E+07  0.867572E+06  0.144461E+07  0.550075E+06  0.107958E+07  0.888678E-02 -183.85   -3.85  -81.38   -3.86   -3.86   61.86
